str,peak,fin,amplitude,rippleDetection_rippleTrlDef
17257090,17258090,17259090,2.48735556072678,1
17265842,17266842,17267842,3.24329994750779,1
17267094,17268094,17269094,2.98762207163227,1
17308371,17309371,17310371,2.62486215657558,1
17341765,17342765,17343765,2.41164448747175,1
17373337,17374337,17375337,2.71567857263592,1
17380711,17381711,17382711,3.7810651342053,1
17380815,17381815,17382815,2.34193465906143,0
17402214,17403214,17404214,2.43883557242259,1
17436881,17437881,17438881,4.2077810104346,1
17504151,17505151,17506151,3.38242910394058,0
17564730,17565730,17566730,3.08868980127324,1
17566706,17567706,17568706,2.25173030120033,1
17580125,17581125,17582125,3.78794448961378,0
17589247,17590247,17591247,3.44625043639948,0
17589308,17590308,17591308,3.49857213080353,0
17624839,17625839,17626839,2.16249313809193,1
17626727,17627727,17628727,3.48308826480213,1
17633912,17634912,17635912,2.26151903968561,0
17645712,17646712,17647712,3.91059333876715,1
17671934,17672934,17673934,2.7472214611265,1
17676150,17677150,17678150,2.5301975239115,1
17711375,17712375,17713375,2.76398268268911,1
17732782,17733782,17734782,2.98358605057071,0
17771519,17772519,17773519,3.26368795183925,1
17793863,17794863,17795863,3.34891409336508,1
17811650,17812650,17813650,2.15061825561246,0
17823375,17824375,17825375,2.18669454934869,1
17926828,17927828,17928828,2.67442626333082,0
18007752,18008752,18009752,3.90122441878685,1
18009756,18010756,18011756,2.18217964462442,1
18012497,18013497,18014497,2.2255624332274,0
18013553,18014553,18015553,3.69949406849643,1
18023818,18024818,18025818,2.60265735868217,1
18035183,18036183,18037183,1.80454173646278,0
18158575,18159575,18160575,4.38430033557926,0
18202912,18203912,18204912,2.92228389533263,0
18218161,18219161,18220161,3.8197048230227,0
18263003,18264003,18265003,3.80374850066476,1
18264669,18265669,18266669,2.61129038560317,0
18274684,18275684,18276684,2.77250365670042,1
18396383,18397383,18398383,2.31211660676478,0
18407646,18408646,18409646,3.86987670598301,1
18436100,18437100,18438100,3.7007412270374,1
18523274,18524274,18525274,2.06813383034943,1
18569358,18570358,18571358,4.18479279669056,1
18627795,18628795,18629795,2.11050373903042,0
18662943,18663943,18664943,3.12544489142907,1
18672395,18673395,18674395,2.8370876079923,1
18690830,18691830,18692830,3.56730902406877,1
18705117,18706117,18707117,2.53686866579457,0
18844633,18845633,18846633,3.38410763895716,0
18886724,18887724,18888724,2.56007679214367,1
18891114,18892114,18893114,2.39791402763168,1
18946932,18947932,18948932,2.41508167195733,1
18964708,18965708,18966708,2.37640680009742,0
18970154,18971154,18972154,4.29797410469628,1
19033995,19034995,19035995,4.37720038748222,1
19039880,19040880,19041880,3.54948285334776,1
19075059,19076059,19077059,3.46793425212497,1
19102073,19103073,19104073,2.31057539030585,1
19132311,19133311,19134311,3.19253251108023,1
19145952,19146952,19147952,2.63164406546601,1
19186926,19187926,19188926,3.50910119993876,1
19225082,19226082,19227082,2.81670989465731,1
19254319,19255319,19256319,2.76421902561286,1
19257811,19258811,19259811,4.15298464289489,1
19364281,19365281,19366281,3.63330138564734,1
19371524,19372524,19373524,2.14614775906355,0
19376047,19377047,19378047,4.25395827835684,1
19376120,19377120,19378120,1.81954145924309,0
19376431,19377431,19378431,4.01443452235066,0
19383761,19384761,19385761,3.87835766197263,1
19391912,19392912,19393912,2.03738459568014,0
19407862,19408862,19409862,3.63924134813589,0
19407975,19408975,19409975,4.31876735132723,0
19408173,19409173,19410173,3.35169492918898,0
19408650,19409650,19410650,3.29413049367705,1
19426504,19427504,19428504,1.93200410304444,0
19430100,19431100,19432100,2.60089976516482,1
19462925,19463925,19464925,4.12988702151653,1
19468553,19469553,19470553,3.02974551063624,1
19469123,19470123,19471123,2.43458281026631,0
19469391,19470391,19471391,1.96204219461196,0
19498058,19499058,19500058,3.84774614684935,1
19506735,19507735,19508735,2.28421772596266,0
19542766,19543766,19544766,1.98304574553879,0
22248592,22249592,22250592,3.83949564092321,1
22255628,22256628,22257628,2.66414470701882,1
22256752,22257752,22258752,2.9606023514048,1
22298599,22299599,22300599,3.71913967999614,1
22298804,22299804,22300804,3.23661418802174,1
22328032,22329032,22330032,3.82387066186112,1
22332537,22333537,22334537,2.85762880195608,1
22341164,22342164,22343164,2.40511974790969,1
22341323,22342323,22343323,2.78132540260436,1
22364871,22365871,22366871,1.92965210542176,0
22376766,22377766,22378766,4.4033909192839,1
22376940,22377940,22378940,3.54754455289324,0
22411261,22412261,22413261,3.64796865854827,1
22424669,22425669,22426669,3.49016815387892,1
22443247,22444247,22445247,2.48920270898751,1
22485430,22486430,22487430,2.87727257823953,1
22485542,22486542,22487542,2.43264936601422,0
22489582,22490582,22491582,3.23633602397742,1
22504236,22505236,22506236,2.58721363421184,0
22504428,22505428,22506428,2.76503430780254,0
22514404,22515404,22516404,2.16936017542353,1
22520572,22521572,22522572,3.10742072404574,0
22520698,22521698,22522698,3.0889479427413,0
22527730,22528730,22529730,3.45544948163449,1
22532947,22533947,22534947,2.48432422682207,1
22538943,22539943,22540943,3.25873161937181,0
22597573,22598573,22599573,3.18990762619116,1
22598049,22599049,22600049,3.90509382146011,0
22598115,22599115,22600115,2.64913224755053,0
22599657,22600657,22601657,3.01841184606063,1
22622819,22623819,22624819,3.27832639761925,1
22623038,22624038,22625038,3.70320713168928,1
22623181,22624181,22625181,4.33618308946882,1
22623304,22624304,22625304,2.6047684791932,0
22641221,22642221,22643221,4.02406066681525,1
22641501,22642501,22643501,2.18648817447406,1
22650547,22651547,22652547,3.45001509697359,1
22653188,22654188,22655188,2.54634917085887,1
22653312,22654312,22655312,3.32601252043008,1
22676851,22677851,22678851,3.25368105416293,1
22683000,22684000,22685000,2.50493975973497,1
22688545,22689545,22690545,2.76899337763572,0
22703093,22704093,22705093,2.794880362474,1
22719892,22720892,22721892,4.03554915567241,1
22762024,22763024,22764024,3.27472080796487,1
22773102,22774102,22775102,3.37613244343583,1
22816937,22817937,22818937,2.70728025143725,1
22914877,22915877,22916877,3.03469631545993,0
22931351,22932351,22933351,2.14205656078718,0
23002604,23003604,23004604,2.38700307635836,0
23077188,23078188,23079188,2.56281172487847,1
23138606,23139606,23140606,3.8566287698237,1
23212888,23213888,23214888,3.33854323089338,0
23223466,23224466,23225466,3.51732928370608,1
23246743,23247743,23248743,3.10947530530458,1
23246928,23247928,23248928,2.53573491417123,1
23271809,23272809,23273809,3.59073730682647,1
23395678,23396678,23397678,3.97550954845401,0
23401757,23402757,23403757,3.35246592836525,1
23458070,23459070,23460070,4.0663912930862,1
23520980,23521980,23522980,3.88491027043939,1
23528603,23529603,23530603,3.05758067679753,1
23584809,23585809,23586809,2.88293693148469,0
23587401,23588401,23589401,3.73388918623765,0
23609363,23610363,23611363,2.40887137339043,0
23680075,23681075,23682075,2.99057595325371,1
23766223,23767223,23768223,2.99048869183136,1
23835934,23836934,23837934,4.13340390191332,1
23884005,23885005,23886005,3.48057002975126,1
23919092,23920092,23921092,3.92418811081018,1
23930604,23931604,23932604,3.41706840060261,1
23976122,23977122,23978122,3.15138970261198,0
23979020,23980020,23981020,3.98053714302164,1
24009878,24010878,24011878,4.34877917511516,1
24022181,24023181,24024181,2.7500580731044,1
24061089,24062089,24063089,3.40986551884061,0
24145943,24146943,24147943,3.61145862082737,0
24154255,24155255,24156255,3.90447278463579,1
24210178,24211178,24212178,2.74560555433681,1
24242820,24243820,24244820,3.82720616817193,0
24247251,24248251,24249251,4.05677384641908,1
24276425,24277425,24278425,2.51464357807111,1
24298085,24299085,24300085,3.59621052318963,1
24341399,24342399,24343399,2.2339314584512,0
24342627,24343627,24344627,3.5337264731359,1
24411594,24412594,24413594,4.23655217000357,1
24721211,24722211,24723211,3.04192302669143,1
24735998,24736998,24737998,3.09293657105231,1
24835050,24836050,24837050,2.37493516790747,0
24841658,24842658,24843658,2.98873565287294,1
24845476,24846476,24847476,3.76617746912704,0
24845974,24846974,24847974,2.42556506881335,1
24857497,24858497,24859497,3.72154493394785,1
24859938,24860938,24861938,2.35553021414691,1
24884434,24885434,24886434,3.5871369207887,0
24888825,24889825,24890825,2.01366686653629,1
24892538,24893538,24894538,3.94800389370631,1
24892752,24893752,24894752,2.18074067553288,1
24894826,24895826,24896826,3.06439431188544,0
24937636,24938636,24939636,3.68010521216612,1
24940804,24941804,24942804,3.37015032351136,1
24967376,24968376,24969376,2.90322453508667,0
24973758,24974758,24975758,2.41978108048176,0
25030044,25031044,25032044,3.52795787307722,1
25039516,25040516,25041516,2.10380304604719,1
25064363,25065363,25066363,4.02057361790498,0
25073583,25074583,25075583,2.32475482139688,1
25076087,25077087,25078087,2.57752556880153,1
25099867,25100867,25101867,2.13512346627985,1
25126271,25127271,25128271,3.21827964453603,1
25154476,25155476,25156476,3.06261352516622,1
25155295,25156295,25157295,1.9927253995003,0
25157817,25158817,25159817,3.64920090202087,1
25200022,25201022,25202022,3.65294573562317,1
25214856,25215856,25216856,2.34238310037448,0
25215103,25216103,25217103,3.27886120681505,1
25241765,25242765,25243765,1.86396128952443,1
25259957,25260957,25261957,2.53881521950419,1
26402400,26403400,26404400,3.57922261350568,1
26402578,26403578,26404578,3.72769402687456,1
26416092,26417092,26418092,2.47024581348822,1
26416245,26417245,26418245,4.00957249028712,0
26416376,26417376,26418376,4.02670601826355,1
26421938,26422938,26423938,1.9659776286052,1
26422148,26423148,26424148,3.1590654917112,1
26422281,26423281,26424281,2.41953832299017,0
26422552,26423552,26424552,3.03819262783669,1
26433227,26434227,26435227,3.22445150450205,1
26433445,26434445,26435445,3.8467190359693,0
26433528,26434528,26435528,4.40629801460592,1
26478991,26479991,26480991,2.04481563334195,1
26506145,26507145,26508145,3.31366024356096,1
26508152,26509152,26510152,3.25535893880162,1
26518977,26519977,26520977,2.88759569755441,1
